                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66402,                0.58725,                    0.9,                0.81673,                0.74073,                0.83207,                0.68635,                 0.6918,                0.65863,                0.92479,               0.000948,               0.000948,               0.000948
                     37,                0.66767,                0.58995,                0.89953,                0.79322,                0.74842,                0.80364,                 0.6756,                0.65567,                0.70597,                0.89872,             0.00093385,             0.00093385,             0.00093385
                     38,                 0.6614,                 0.5734,                0.90109,                0.78634,                 0.7942,                0.84092,                0.69996,                0.65003,                0.62677,                 0.8973,              0.0009197,              0.0009197,              0.0009197
                     39,                0.66432,                0.57718,                0.90154,                0.82044,                0.75199,                0.83821,                0.70309,                0.65625,                0.64715,                0.89983,             0.00090556,             0.00090556,             0.00090556
                     40,                0.64545,                0.55936,                0.89536,                0.75139,                0.78255,                0.82642,                0.68964,                0.65825,                0.63982,                0.90436,             0.00089141,             0.00089141,             0.00089141
                     41,                0.65669,                0.57813,                0.89859,                0.80137,                0.76016,                0.82805,                0.69621,                0.65192,                0.63376,                0.89683,             0.00087726,             0.00087726,             0.00087726
                     42,                 0.6468,                0.56585,                 0.8989,                0.81483,                0.76661,                0.83631,                0.70065,                0.65434,                0.63271,                0.89801,             0.00086312,             0.00086312,             0.00086312
                     43,                0.64306,                0.55611,                0.89694,                0.79805,                0.77378,                0.83615,                0.70115,                0.63477,                0.62702,                0.89574,             0.00084897,             0.00084897,             0.00084897
                     44,                0.63722,                0.55862,                 0.8988,                0.77654,                0.75103,                0.81269,                0.67899,                0.65019,                0.68482,                 0.8971,             0.00083482,             0.00083482,             0.00083482
                     45,                0.64114,                0.55362,                0.89286,                0.81906,                0.75772,                0.84668,                0.70501,                0.64196,                0.61273,                0.90034,             0.00082067,             0.00082067,             0.00082067
                     46,                0.62448,                0.52585,                0.89256,                 0.7819,                0.78421,                0.83363,                 0.6932,                0.64982,                0.63045,                0.90298,             0.00080653,             0.00080653,             0.00080653
                     47,                 0.6398,                0.53858,                  0.892,                0.81024,                0.74539,                 0.8204,                0.67878,                0.67502,                0.65044,                0.90716,             0.00079238,             0.00079238,             0.00079238
                     48,                0.65616,                0.55422,                0.89852,                 0.7971,                 0.7755,                 0.8292,                0.69452,                0.65667,                0.65219,                 0.9025,             0.00077823,             0.00077823,             0.00077823
                     49,                 0.6429,                0.52492,                0.89631,                0.80994,                0.75389,                0.82285,                0.68981,                0.65165,                0.63193,                0.90282,             0.00076409,             0.00076409,             0.00076409
                     50,                0.64714,                0.53679,                0.89283,                0.77342,                0.79933,                0.84316,                0.70673,                0.64528,                0.61975,                 0.9012,             0.00074994,             0.00074994,             0.00074994
                     51,                0.62701,                 0.5234,                0.88638,                0.79482,                0.77227,                0.82886,                0.69658,                0.63976,                0.62807,                0.89848,             0.00073579,             0.00073579,             0.00073579
                     52,                0.62469,                0.52026,                0.88512,                0.79953,                0.79417,                0.84601,                0.70709,                0.63973,                 0.5948,                0.89927,             0.00072164,             0.00072164,             0.00072164
                     53,                0.61864,                0.51649,                0.88828,                0.77864,                 0.7658,                0.83724,                0.69987,                0.64756,                 0.6364,                0.90273,              0.0007075,              0.0007075,              0.0007075
                     54,                0.62733,                0.51258,                0.88029,                0.80701,                0.80333,                0.85223,                0.71417,                0.64984,                0.59415,                0.89927,             0.00069335,             0.00069335,             0.00069335
                     55,                 0.6153,                0.50364,                0.88738,                0.79222,                0.76352,                0.82552,                0.69349,                0.64659,                  0.635,                0.89966,              0.0006792,              0.0006792,              0.0006792
                     56,                0.63285,                0.51957,                0.88884,                0.81613,                0.76112,                0.83134,                0.69898,                0.63635,                0.63106,                0.89523,             0.00066506,             0.00066506,             0.00066506
                     57,                0.61306,                0.50112,                0.88422,                0.82166,                0.76032,                0.84786,                0.70888,                0.64386,                0.59106,                0.89841,             0.00065091,             0.00065091,             0.00065091
                     58,                0.61661,                 0.5077,                0.88112,                0.77613,                0.76555,                 0.8049,                 0.6754,                0.64323,                 0.6619,                0.89677,             0.00063676,             0.00063676,             0.00063676
                     59,                0.60836,                0.50659,                0.88549,                0.78621,                0.76804,                0.83718,                 0.7018,                0.63951,                 0.6244,                 0.8944,             0.00062262,             0.00062262,             0.00062262
                     60,                0.61171,                0.49929,                 0.8828,                0.78374,                0.78957,                0.83446,                0.70095,                0.63729,                0.61694,                0.89455,             0.00060847,             0.00060847,             0.00060847
                     61,                 0.6085,                0.48779,                0.87938,                0.82352,                0.76881,                0.85794,                0.72023,                0.63664,                0.57753,                0.89293,             0.00059432,             0.00059432,             0.00059432
                     62,                0.59867,                0.47835,                0.88052,                0.81392,                0.78401,                0.85171,                 0.7158,                0.64423,                0.58311,                0.89536,             0.00058017,             0.00058017,             0.00058017
                     63,                0.61604,                 0.4843,                 0.8789,                0.81655,                0.78366,                 0.8561,                0.72513,                0.63368,                0.57429,                0.89634,             0.00056603,             0.00056603,             0.00056603
                     64,                0.60379,                0.48558,                0.87969,                0.78432,                0.80428,                0.85184,                0.71443,                0.63629,                0.58631,                0.89991,             0.00055188,             0.00055188,             0.00055188
                     65,                0.60682,                0.48719,                0.87881,                0.78067,                 0.7979,                 0.8491,                0.71313,                0.62991,                0.59007,                0.89274,             0.00053773,             0.00053773,             0.00053773
                     66,                0.60885,                  0.482,                0.87759,                0.80999,                0.78523,                0.84953,                0.71065,                0.63467,                0.59755,                0.89793,             0.00052359,             0.00052359,             0.00052359
                     67,                0.59808,                0.46435,                0.87814,                0.82846,                0.77088,                0.84284,                0.70829,                0.63319,                0.57099,                0.89619,             0.00050944,             0.00050944,             0.00050944
                     68,                0.59548,                0.45922,                0.87389,                 0.7989,                0.78412,                0.84809,                  0.719,                0.62915,                0.57717,                0.89297,             0.00049529,             0.00049529,             0.00049529
                     69,                0.59755,                  0.461,                 0.8774,                0.78817,                0.78207,                0.83629,                0.70569,                0.62529,                0.58451,                0.89398,             0.00048114,             0.00048114,             0.00048114
                     70,                0.58989,                0.45679,                0.87263,                0.81103,                0.77928,                0.84332,                0.71445,                 0.6354,                0.59954,                0.89913,               0.000467,               0.000467,               0.000467
                     71,                0.57439,                0.44857,                 0.8751,                0.84315,                 0.7547,                0.84793,                0.71594,                0.61829,                0.58451,                0.89097,             0.00045285,             0.00045285,             0.00045285
                     72,                0.59355,                0.45102,                 0.8755,                0.81911,                0.76427,                0.83969,                0.71419,                 0.6269,                0.59856,                0.89469,              0.0004387,              0.0004387,              0.0004387
                     73,                0.57734,                0.45225,                0.86952,                0.79937,                0.79079,                0.84208,                0.71314,                0.63265,                0.57286,                0.89506,             0.00042456,             0.00042456,             0.00042456
                     74,                0.58077,                0.44268,                0.87664,                0.78245,                0.81336,                0.84316,                0.71411,                0.63169,                 0.5939,                0.89701,             0.00041041,             0.00041041,             0.00041041
                     75,                0.58421,                0.44338,                0.87114,                0.83408,                0.76688,                0.85121,                0.72128,                0.62517,                0.57359,                0.88956,             0.00039626,             0.00039626,             0.00039626
                     76,                0.58506,                0.44516,                0.87246,                0.81242,                0.78721,                0.84955,                0.72006,                0.62419,                0.57142,                0.89182,             0.00038211,             0.00038211,             0.00038211
                     77,                0.57329,                0.43999,                0.86933,                0.81964,                 0.7729,                 0.8456,                0.71515,                0.62835,                0.59993,                0.89291,             0.00036797,             0.00036797,             0.00036797
                     78,                  0.563,                0.42728,                 0.8653,                0.81109,                0.80974,                0.85228,                0.72333,                0.62327,                0.59385,                0.89105,             0.00035382,             0.00035382,             0.00035382
                     79,                0.56938,                 0.4299,                0.86806,                0.84364,                0.75258,                 0.8475,                0.72064,                0.61855,                0.56362,                 0.8916,             0.00033967,             0.00033967,             0.00033967
                     80,                0.57101,                0.42692,                0.86743,                0.78981,                0.81465,                 0.8443,                0.71682,                0.61621,                0.58084,                0.88763,             0.00032553,             0.00032553,             0.00032553
                     81,                0.57154,                0.41887,                0.86516,                0.79968,                0.79902,                0.85483,                0.72768,                0.61832,                 0.5629,                0.88999,             0.00031138,             0.00031138,             0.00031138
                     82,                0.57039,                0.41916,                 0.8697,                0.83907,                0.75613,                0.84542,                0.71672,                0.62297,                0.57089,                 0.8949,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.5705,                0.42086,                0.86475,                0.79454,                0.79376,                0.85185,                0.72654,                0.61397,                0.54881,                0.89261,             0.00028308,             0.00028308,             0.00028308
                     84,                0.56045,                0.41533,                0.86642,                0.82922,                0.76706,                0.85789,                0.72807,                0.61354,                0.56251,                0.88994,             0.00026894,             0.00026894,             0.00026894
                     85,                0.56901,                0.41397,                0.86601,                0.83203,                0.78709,                0.86009,                0.73298,                0.61767,                 0.5525,                0.89134,             0.00025479,             0.00025479,             0.00025479
                     86,                0.57221,                0.41823,                0.86544,                0.82903,                0.77529,                0.85078,                0.72114,                0.61514,                0.57224,                 0.8894,             0.00024064,             0.00024064,             0.00024064
                     87,                0.56068,                0.41071,                0.86511,                0.81839,                0.77633,                0.84484,                0.72117,                0.61595,                0.55333,                0.88665,              0.0002265,              0.0002265,              0.0002265
                     88,                0.55302,                 0.4005,                0.86343,                0.79299,                0.80173,                0.85075,                 0.7264,                 0.6086,                  0.549,                0.88513,             0.00021235,             0.00021235,             0.00021235
                     89,                0.55217,                0.40291,                0.85978,                0.83752,                0.77367,                0.84931,                0.72398,                0.60795,                0.54227,                 0.8853,              0.0001982,              0.0001982,              0.0001982
                     90,                0.54544,                0.39791,                0.86182,                0.84017,                0.77299,                0.84534,                0.72172,                0.60484,                0.55235,                0.88512,             0.00018406,             0.00018406,             0.00018406
